"","sign_ups","serves","servers","average_wait_time","average_serve_time","day","avgDayServeTime","loadInflux","daysAfterPrevAssnDue","daysUntilNextAssnDue","daysTilExam","weekNum","hourOfDay","monday","tuesday","wednesday","thursday","friday","saturday","sunday","morning","noon","afternoon","evening","L10daysAfterPrevAssnDue","L5daysAfterPrevAssnDue","L3daysAfterPrevAssnDue","L1daysAfterPrevAssnDue","L10daysUntilNextAssnDue","L5daysUntilNextAssnDue","L3daysUntilNextAssnDue","L1daysUntilNextAssnDue","L10daysTilExam","L5daysTilExam","L3daysTilExam","L1daysTilExam","isFirstOHWithinLastThreeHour","isFirstOHWithinLastSixHour","isLastOHWithinNextThreeHour","isLastOHWithinNextSixHour","NumStudents","InstructorRating","AvgHrsSpent","ProportionFrosh","ProportionGrads","ProportionPhDs","NumEntriesInInt"
"Apr 11, 2018  4:00 PM",24,17,0,20,7,3,10.5,252,-1,9,28,2,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,3
"Apr 12, 2018  2:00 PM",22,20,0,29.4,7,4,8.75,192.5,-1,8,27,2,14,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,5
"Apr 13, 2018  2:00 PM",34,34,0.333333333333333,36,9.5,5,11.4,387.6,-1,7,26,2,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,6
"Apr 14, 2018  1:00 PM",5,5,0.5,8.5,4.5,6,4.5,22.5,-1,6,25,2,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,2
"Apr 16, 2018  9:00 AM",46,42,0.0833333333333333,27.4166666666667,6,1,9,414,-1,4,23,3,9,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,12
"Apr 17, 2018  1:00 PM",46,39,0.142857142857143,69.2857142857143,11,2,11,506,-1,3,22,3,13,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,7
"Apr 18, 2018  4:00 PM",24,22,0.5,59.25,7.25,3,9.66666666666667,232,-1,2,21,3,16,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,4
"Apr 19, 2018  3:00 PM",24,16,0.666666666666667,23.3333333333333,18.3333333333333,4,18.3333333333333,440,-1,1,20,3,15,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,3
"Apr 20, 2018  2:00 PM",22,15,0.2,632.6,8.8,5,11,242,-1,0,19,3,14,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,5
"Apr 21, 2018  1:00 PM",1,1,1,7,19,6,19,19,1,13,18,3,13,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,432,4.3,12.38,0.02,0.52,0.27,1
"Apr 23, 2018  9:00 AM",60,42,0.111111111111111,34.7777777777778,8.33333333333333,1,10.7142857142857,642.857142857142,3,11,16,4,9,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,9
"Apr 24, 2018 12:00 AM",25,26,0.166666666666667,21.3333333333333,13,2,19.5,487.5,4,10,15,4,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,432,4.3,12.38,0.02,0.52,0.27,6
"Apr 25, 2018  4:00 PM",23,20,0.666666666666667,40.3333333333333,9.33333333333333,3,9.33333333333333,214.666666666667,5,9,14,4,16,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,3
"Apr 26, 2018  2:00 PM",30,17,0.142857142857143,18.5714285714286,15.7142857142857,4,18.3333333333333,550,6,8,13,4,14,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,432,4.3,12.38,0.02,0.52,0.27,7
